абсолютный,absolute
принять,accept
счет,account
бухгалтер,accountant
достигнуть,achieve
приобрести,acquire
акт,act
действие,action
деятельность,activity
актер,actor
актриса,actress
острый,acute
добавить,add
адрес,address
признать,admit
принять,adopt
взрослый,adult
влияние,affect
возраст,age
в возрасте,aged
согласиться,agree
нацелиться,aim
воздух,air
позволить,allow
один,alone
алфавит,alphabet
сумма,amount
вполне достаточный,ample
анализ,analysis
древний,ancient
сердитый,angry
животное,animal
объявить,announce
ответ,answer
появиться,appear
применение,application
обратиться,apply
назначить,appoint
подход,approach
склонный,apt
область,area
спорить,argue
возникнуть,arise
рука,arm
армия,army
договориться,arrange
прибыть,arrive
искусство,art
спросить,ask
аспект,aspect
оценить,assess
партнер,associate
ассоциация,association
принять,assume
попытка,attempt
принять участие,attend
привлечь,attract
власть,authority
осень,autumn
среднее число,average
избежать,avoid
премия,award
дети,baby
назад,back
плохо,bad
лысый,bald
банк,bank
голый,bare
основа,base
быть,be
медведь,bear
удар,beat
стать,become
кровать,bed
начать,begin
верить,believe
принадлежать,belong
выгода,benefit
большой,big
черный,black
мягкий,bland
бланк,blank
холодный,bleak
слепой,blind
блондин,blond
чертовски,bloody
синий,blue
тупой,blunt
правление,board
тело,body
смелый,bold
книга,book
скучный,boring
родившийся,born
мальчик,boy
храбрый,brave
разрыв,break
резюме,brief
яркий,bright
принести,bring
оживленный,brisk
широко,broad
брат,brother
коричневый,brown
построить,build
строитель,builder
строительство,building
большой,bulky
бизнес,business
занятый,busy
купить,buy
звонить,call
спокойствие,calm
капитал,capital
автомобиль,car
уход,care
нести,carry
случайный,casual
кошка,cat
выгода,catch
причина,cause
CD-плеер,cd player
потолок,ceiling
центральный,central
век,century
стул,chair
председатель,chairman
изменение,change
глава,chapter
обвинение,charge
дешевый,cheap
проверить,check
развязный,cheeky
руководитель,chief
ребенок,child
ребяческий,childish
холодно,chilly
выбрать,choose
церковь,church
обстоятельство,circumstance
город,city
требование,claim
класс,class
класс,classroom
чистый,clean
уборщик,cleaner
ясный,clear
умный,clever
клиент,client
закрыть,close
клуб,club
неуклюжий,clumsy
грубый,coarse
холод,cold
собраться,collect
колледж,college
приехать,come
комиссия,commission
передать,commit
комитет,committee
сообщество,community
компактный,compact
компания,company
выдержать сравнение,compare
полный,complete
компьютер,computer
концентрат,concentrate
условие,condition
конференция,conference
подтвердить,confirm
рассмотреть,consider
состоять,consist
содержать,contain
продолжить,continue
контракт,contract
способствовать,contribute
контроль,control
прохладный,cool
коррумпированный,corrupt
стоимость,cost
дорогостоящий,costly
удобный,cosy
кашель,cough
совет,council
страна,country
пара,couple
курс,course
суд,court
покрытие,cover
сумасшедший,crazy
создать,create
хрустящий картофель,crisp
крест,cross
сырая нефть,crude
жестокий,cruel
крик,cry
хитрость,cunning
шкаф,cupboard
любопытный,curious
кривой,curved
клиент,customer
сокращение,cut
ненормальный,daft
влажность,damp
данные,data
дата,date
дочь,daughter
день,day
мертвый,dead
смертельно,deadly
глухой,deaf
соглашение,deal
дорогой,dear
смерть,death
решить,decide
решение,decision
глубоко,deep
определить,define
поставить,deliver
требование,demand
продемонстрировать,demonstrate
отрицать,deny
отдел,department
зависеть,depend
описать,describe
дизайн,design
деталь,detail
определить,determine
развиваться,develop
развитие,development
словарь,dictionary
умереть,die
тусклый,dim
страшный,dire
направление,direction
директор,director
грязный,dirty
обнаружить,discover
осторожный,discreet
обсудить,discuss
обсуждение,discussion
болезнь,disease
божественный,divine
подразделение,division
головокружительный,dizzy
сделать,do
доктор,doctor
собака,dog
дверь,door
нарисовать,draw
платье,dress
напиток,drink
двигатель,drive
снижение,drop
препарат,drug
выпитый,drunk
сухой,dry
унылый,dull
немой,dumb
пыльный,dusty
обязанность,duty
DVD-плеер,dvd player
рано,early
легкий,easy
поесть,eat
экономика,economy
образование,education
эффект,effect
усилие,effort
восемь,eight
восемнадцать,eighteen
выборы,election
одиннадцать,eleven
появиться,emerge
использовать,employ
пустой,empty
позволить,enable
поощрить,encourage
конец,end
инженер,engineer
наслаждаться,enjoy
гарантировать,ensure
войти,enter
окружающая среда,environment
установить,establish
вечер,evening
событие,event
доказательства,evidence
исследовать,examine
пример,example
существовать,exist
ожидать,expect
опыт,experience
объяснить,explain
экспресс,express
простираться,extend
чрезвычайный,extreme
глаз,eye
лицо,face
фактор,factor
терпят неудачу,fail
слабый,faint
ярмарка,fair
падение,fall
семья,family
воображение,fancy
далеко,far
быстро,fast
жир,fat
отец,father
жирный,fatty
подача,feed
чувство,feel
область,field
жестокий,fierce
пламенный,fiery
пятнадцать,fifteen
борьба,fight
число,figure
заполниться,fill
фильм,film
отвратительно,filthy
найти,find
прекрасный,fine
конец,finish
огонь,fire
фирма,firm
подгонка,fit
пять,five
квартира,flat
пол,floor
гибкий диск,floppy
грипп,flu
муха,fly
следовать,follow
любящий,fond
нога,foot
сила,force
забыть,forget
форма,form
фол,foul
четыре,four
четырнадцать,fourteen
хилый,frail
откровенный,frank
свободный,free
новый,fresh
пятница,friday
друг,friend
дружественный,friendly
полный,full
фонд,fund
забавное,funny
мебель,furniture
будущее,future
выгода,gain
игра,game
сад,garden
гей,gay
добраться,get
ужасный,ghastly
девочка,girl
дать,give
довольный,glad
мрачный,gloomy
глянцевый,glossy
искать,go
движение,going
золото,gold
хороший,good
правительство,government
великий,grand
грант,grant
могила,grave
сальный,greasy
большой,great
жадный,greedy
зеленый,green
серый,grey
мрачный,grim
общее количество,gross
земля,ground
вырасти,grow
виновный,guilty
волосы,hair
волосатый,hairy
зал,hall
рука,hand
солидный,handsome
удобный,handy
висеть,hang
произойти,happen
счастливый,happy
трудно,hard
выносливый,hardy
резкий,harsh
ненависть,hate
иметь,have
голова,head
головная боль,headache
здоровье,health
здоровый,healthy
услышать,hear
сердце,heart
тяжелый,heavy
помощь,help
скрыть,hide
высоко,high
история,history
хит,hit
держаться,hold
пустота,hollow
святой,holy
главная страница,home
честный,honest
надежда,hope
лошадь,horse
больница,hospital
горячий,hot
отель,hotel
час,hour
дом,house
домохозяйка,housewife
огромный,huge
сотня,hundred
голодный,hungry
муж,husband
идея,idea
определить,identify
проигнорировать,ignore
плохо,ill
вообразить,imagine
наложить,impose
улучшиться,improve
включать,include
доход,income
увеличение,increase
указать,indicate
промышленность,industry
инфекция,infection
информация,information
настоять,insist
учреждение,institution
предназначить,intend
интерес,interest
ввести,introduce
инвестиции,investment
пригласить,invite
включить,involve
проблема,issue
работа,job
соединение,join
сустав,joint
весьма,jolly
просто,just
сильно желающий,keen
держать,keep
убить,kill
вид,kind
любезно,kindly
король,king
знать,know
знание,knowledge
труд,labour
леди,lady
лампа,lamp
земля,land
язык,language
ноутбук,laptop
большой,large
поздно,late
смех,laugh
запуск,launch
закон,law
лежать,lay
ленивый,lazy
лидерство,lead
лидер,leader
наклон,lean
учиться,learn
отпуск,leave
левый,left
нога,leg
длинный,lengthy
позволить,let
уровень,level
лгать,lie
жизнь,life
лифт,lift
свет,light
как,like
вероятно,,likely
предел,limit
линия,line
связь,link
прослушать,listen
живой,live
живой,lively
одинокий,lonely
долго,long
посмотреть,look
лорд,lord
проиграть,lose
громкий,loud
любовь,love
прекрасный,lovely
низко,low
удачный,lucky
пышный,lush
машина,machine
безумный,mad
поддержать,maintain
сделать,make
человек,man
справиться,manage
управление,management
менеджер,manager
отметка,mark
рынок,market
жениться,marry
материал,material
зрелый,mature
средний,mean
мера,measure
механик,mechanic
медицина,medicine
встретиться,meet
встреча,meeting
упоминание,mention
простой,mere
веселый,merry
грязный,messy
метод,method
середина,mid
могущественный,mighty
умеренный,mild
миля,mile
миллиард,milliard
миллион,million
ум,mind
министр,minister
минута,minute
мисс,miss
модель,model
скромный,modest
сырой,moist
момент,moment
понедельник,monday
деньги,money
месяц,month
утро,morning
мать,mother
двинуться,move
движение,movement
грязный,muddy
музыка,music
музыкант,musician
имя,name
узкий,narrow
противный,nasty
природа,nature
непослушный,naughty
рядом,near
опрятный,neat
потребность,need
небрежный,negligent
новый,new
хороший,nice
ночь,night
девять,nine
девятнадцать,nineteen
шумный,noisy
нос,nose
отметить,note
заметить,notice
число,number
медсестра,nurse
неясный,obscure
наблюдать,observe
получить,obtain
произойти,occur
предложение,offer
офис,office
чиновник,officer
старый,old
один,one
открытый,open
действовать,operate
операция,operation
оранжевый,orange
заказ,order
организация,organisation
овальный,oval
быстро,overnight
собственный,own
страница,page
боль,pain
бледный,pale
бумага,paper
родитель,parent
парк,park
сторона,party
проход,pass
пациент,patient
плата,pay
ручка,pen
карандаш,pencil
люди,people
выступить,perform
работа,performance
период,period
человек,person
извращенный,perverse
мелкий,petty
выбрать,pick
картина,picture
таблетка,pill
розовый,pink
место,place
равнина,plain
план,plan
завод,plant
игра,play
игрок,player
приятный,pleasant
пункт,point
резкий,pointed
полиция,police
полицейский,police officer
политика,policy
вежливый,polite
бедный,poor
население,population
шикарный,posh
положение,position
власть,power
практика,practice
предпочесть,prefer
подготовиться,prepare
существующий,present
президент,president
пресса,press
симпатичный,pretty
предотвратить,prevent
цена,price
принцип,principle
проблема,problem
процедура,procedure
процесс,process
произвести,produce
продукт,product
производство,production
прибыль,profit
глубокий,profound
программа,programme
проект,project
обещание,promise
продвинуть,promote
быстрый,prompt
собственность,property
предложение,proposal
сделать предложение,propose
защитить,protect
гордый,proud
доказать,prove
обеспечить,provide
благоразумный,prudent
издать,publish
потянуть,pull
чистый,pure
фиолетовый,purple
цель,purpose
продвинуться,push
поместить,put
качество,quality
вопрос,question
быстрый,quick
тихий,quiet
радио,radio
дождь,rain
поднять,raise
диапазон,range
редкий,rare
уровень,rate
сырье,raw
достигнуть,reach
читать,read
готовый,ready
реальный,real
понять,realise
задняя часть,rear
получить,receive
признать,recognise
отчет,record
прямоугольный,rectangular
красный,red
уменьшить,reduce
относиться,refer
размышлять,reflect
отказаться,refuse
отношение,regard
область,region
отклонить,reject
иметь отношение,relate
отношения,relationship
выпуск,release
остаться,remain
помнить,remember
отдаленный,remote
удалить,remove
повториться,repeat
заменить,replace
ответ,reply
отчет,report
представлять,represent
потребовать,require
исследование,research
ресурс,resource
уважение,respect
ответить,respond
ответственность,responsibility
отдых,rest
результат,result
сохранить,retain
отставной,retired
вернуть,return
показать,reveal
богатый,rich
право,right
кольцо,ring
готовый,ripe
повышение,rise
опасный,risky
река,river
дорога,road
прочный,robust
скалистый,rocky
роль,role
крыша,roof
комната,room
грубо,rough
вокруг,round
грубый,rude
правило,rule
управляемый,run
ржавый,rusty
печальный,sad
безопасный,safe
продавец-консультант,sales assistant
суббота,saturday
сохранить,save
сказать,say
недостаточный,scarce
схема,scheme
школа,school
наука,science
море,sea
сезон,season
секретарь,secretary
секция,section
сектор,sector
безопасный,secure
безопасность,security
посмотрите,see
искать,seek
казаться,seem
продать,sell
послать,send
служить,serve
обслуживание,service
набор,set
обосноваться,settle
семь,seven
семнадцать,seventeen
серьезный,severe
сексуальный,sexy
потертый,shabby
темный,shadowy
встряска,shake
шаткий,shaky
мелкий,shallow
бесформенный,shapeless
отправить,share
чистый,sheer
блестящий,shiny
обувь,shoe
охота,shoot
короткий,short
показать,show
проницательный,shrewd
застенчивый,shy
больной,sick
сторона,side
знак,sign
глупый,silly
серебро,silver
простой,simple
искренний,sincere
петь,sing
сидеть,sit
ситуация,situation
шесть,six
шестнадцать,sixteen
небо,sky
сон,sleep
сонный,sleepy
небольшой,slight
тонкий,slim
медленный,slow
маленький,small
умный,smart
улыбка,smile
гладкий,smooth
общество,society
диван,sofa
мягкий,soft
единственный,sole
сын,son
рана,sore
жаль,sorry
звук,sound
юг,south
запчасть,spare
редкий,sparse
говорить,speak
быстрый,speedy
потратить,spend
разделение,split
весна,spring
квадрат,square
штат,staff
стадия,stage
несвежий,stale
стенд,stand
стандарт,standard
пристальный взгляд,stare
начать,start
государство,state
величественный,stately
заявление,statement
станция,station
остаться,stay
устойчивый,steady
липкий,sticky
жесткий,stiff
все еще,still
камень,stone
остановиться,stop
бурный,stormy
история,story
крепкий,stout
прямо,straight
странный,strange
улица,street
строгий,strict
забастовка,strike
сильный,strong
структура,structure
студент,student
исследование,study
крепкий,sturdy
предмет,subject
успех,success
пострадать,suffer
предложить,suggest
чемодан,suitcase
лето,summer
солнце,sun
воскресенье,sunday
солнечный,sunny
поставка,supply
поддержка,support
предположить,suppose
уверенный,sure
выжить,survive
быстро,swift
система,system
стол,table
взять,take
разговор,talk
высокий,tall
вкусный,tasty
тугой,taut
налог,tax
преподавать,teach
учитель,teacher
команда,team
технология,technology
сказать,tell
десять,ten
склоняться,tend
термин,term
тест,test
благодарность,thank
это,that
теория,theory
толстый,thick
тонкий,thin
вещь,thing
думать,think
хотящий пить,thirsty
тринадцать,thirteen
тысяча,thousand
угрожать,threaten
три,three
бросок,throw
четверг,thursday
опрятный,tidy
трудный,tight
время,time
крошечный,tiny
прикосновение,touch
жесткий,tough
город,town
торговля,trade
обучение,training
путешествия,travel
удовольствие,treat
дерево,tree
треугольный,triangular
хитрый,tricky
верный,true
попробовать,try
во вторник,tuesday
поворот,turn
ТВ,tv
двенадцать,twelve
двадцать,twenty
два,two
напечатать,type
уродливый,ugly
понять,understand
несправедливый,unfair
недовольный,unhappy
союз,union
единица,unit
объединенный,united
университет,university
вряд ли,unlikely
неудачный,unlucky
